Date,adj_index_level
2021-06-30,1000.0
2021-07-01,1007.9577774720268
2021-07-02,1011.7364367269168
2021-07-06,1001.3553076991828
2021-07-07,1005.2430081702277
2021-07-08,996.8978993420044
2021-07-09,1010.996541272693
2021-07-12,1014.2298758284712
2021-07-13,1002.3604628558658
2021-07-14,999.801588498773
2021-07-15,998.829844369887
2021-07-16,988.76542953914
2021-07-19,971.7358967548196
2021-07-20,988.8164658069566
2021-07-21,998.4275562827884
2021-07-22,994.7407009784304
2021-07-23,1003.1494457299416
2021-07-26,1006.2151684768436
2021-07-27,1004.5126258203334
2021-07-28,1003.8817789337462
2021-07-29,1010.1909793226528
2021-07-30,1012.4055572145446
2021-08-02,1008.2850018060404
2021-08-03,1013.7736403548328
2021-08-04,1002.5908779526484
2021-08-05,1011.316131774357
2021-08-06,1019.4385464906404
2021-08-09,1015.7235565109904
2021-08-10,1018.807718503468
2021-08-11,1026.0054558014965
2021-08-12,1025.3055244599254
2021-08-13,1025.9260298584938
2021-08-16,1024.854331348475
2021-08-17,1019.759106243712
2021-08-18,1009.9428394640996
2021-08-19,1004.5980845094144
2021-08-20,1011.6584691608616
2021-08-23,1018.266590772171
2021-08-24,1021.5154862976796
2021-08-25,1025.5207144857552
2021-08-26,1017.586652060362
2021-08-27,1029.674636893705
2021-08-30,1028.871140130135
2021-08-31,1032.2414598954551
2021-09-01,1035.9644519809865
2021-09-02,1043.3675825001292
2021-09-03,1040.3991447818123
2021-09-07,1029.3283189282986
2021-09-08,1028.3661241914533
2021-09-09,1024.3025458907528
2021-09-10,1017.4294851213416
2021-09-13,1021.673078168168
2021-09-14,996.4879461717712
2021-09-15,1009.5534224930684
2021-09-16,1007.5783129980712
2021-09-17,998.8386455969712
2021-09-20,984.892032368186
2021-09-21,979.6848684253154
2021-09-22,987.7559812894116
2021-09-23,997.8572830616398
2021-09-24,998.4467160624764
2021-09-27,1002.4215911497964
2021-09-28,983.1468054475909
2021-09-29,987.8986546257388
2021-09-30,976.469831954208
2021-10-01,991.1261895614518
2021-10-04,982.6609117953644
2021-10-05,988.926400634925
2021-10-06,989.8894869357346
2021-10-07,999.7417597653624
2021-10-08,984.1876559891704
2021-10-11,970.7730076227527
2021-10-12,972.3635000301432
2021-10-13,977.5748002444147
2021-10-14,996.7182276762202
2021-10-15,999.095276100548
2021-10-18,995.9968669902358
2021-10-19,1006.546234559765
2021-10-20,1014.4840619615372
2021-10-21,1014.297804908964
2021-10-22,1015.3135555672912
2021-10-25,1015.8853093032922
2021-10-26,1012.5105747264098
2021-10-27,997.0797985100364
2021-10-28,1004.4043780146352
2021-10-29,1002.0805101149544
2021-11-01,1011.5771836593916
2021-11-02,1018.7888771629168
2021-11-03,1025.728211849765
2021-11-04,1019.1944079326776
2021-11-05,1029.1601669427391
2021-11-08,1030.558102835966
2021-11-09,1029.643780043336
2021-11-10,1024.5151918638226
2021-11-11,1023.172008855834
2021-11-12,1023.4254601982444
2021-11-15,1022.9622806072044
2021-11-16,1024.2735492521012
2021-11-17,1020.2901500032984
2021-11-18,1011.5107276037136
2021-11-19,1003.7210590523142
2021-11-22,1001.5719515289578
2021-11-23,1004.67030417125
2021-11-24,1003.3618957724032
2021-11-26,980.1604271438572
2021-11-29,985.4773492195468
2021-11-30,960.7475621955448
2021-12-01,944.562126372826
2021-12-02,974.094099135528
2021-12-03,969.621877671797
2021-12-06,982.900818432747
2021-12-07,983.0924435965976
2021-12-08,988.3524371498764
2021-12-09,976.7963853052124
2021-12-10,982.2752952992544
2021-12-13,973.3303682109564
2021-12-14,973.8211022003802
2021-12-15,979.9009440889524
2021-12-16,981.5996975383176
2021-12-17,977.9864219182432
2021-12-20,962.7617986994154
2021-12-21,981.1955149530952
2021-12-22,988.8743693693376
2021-12-23,998.7803704962304
2021-12-27,1011.6272517529028
2021-12-28,1011.8202445070737
2021-12-29,1015.06687921877
2021-12-30,1014.0925982012468
2021-12-31,1013.868972568206
2022-01-03,1014.1859075603504
2022-01-04,1017.558454833164
2022-01-05,1005.4206919068486
2022-01-06,1007.386946140046
2022-01-07,1001.3680753472358
2022-01-10,1001.1921825369484
2022-01-11,1010.6698919876392
2022-01-12,1011.7682657753936
2022-01-13,1006.275428773284
2022-01-14,1005.603234359118
2022-01-18,982.384468757956
2022-01-19,974.2410338668268
2022-01-20,966.1560240832918
2022-01-21,950.4132043504356
2022-01-24,958.1195450484546
2022-01-25,946.9336255638242
2022-01-26,936.9474794594342
2022-01-27,929.480920456658
2022-01-28,948.923268039153
2022-01-31,961.3431374261952
2022-02-01,967.8438919406004
2022-02-02,971.4631727416794
2022-02-03,959.1457069143204
2022-02-04,952.8606941847554
2022-02-07,950.0753551587128
2022-02-08,960.6210952568364
2022-02-09,975.3186651972668
2022-02-10,962.203999506185
2022-02-11,945.0368815789648
2022-02-14,938.2808680337972
2022-02-15,955.5199520431416
